Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Bebecê,Vinho,Dafiti,Sapatilha Feminina Bebecê Bico Fino Vinho,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 64,99","R$ 69,14",1x,Sapatilha Feminina Bebecê Bico Fino Vinho,sapatilha feminina bebece bico fino vinho,sapatilha feminina bebece bico fino vinho
Vizzano,Off-white,Dafiti,Scarpin Feminino Vizzano Corrente Dourad...,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 134,99","R$ 143,61",2x,Scarpin Feminino Vizzano Corrente Dourad...,scarpin feminino vizzano corrente dourad,scarpin feminino vizzano corrente dourad
Jorge Bischoff,Azul Marinho,Dafiti,Sapatilha Feminina Jorge Bischoff Laço A...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 469,00","R$ 334,99","R$ 356,37",5x,Sapatilha Feminina Jorge Bischoff Laço A...,sapatilha feminina jorge bischoff laco a,sapatilha feminina jorge bischoff laco
Usaflex,Azul,Dafiti,Tênis Slip On Usaflex Liso Azul,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 239,99","R$ 139,99","R$ 148,93",2x,Tênis Slip On Usaflex Liso Azul,tenis slip on usaflex liso azul,tenis slip on usaflex liso azul
Santa Lolla,Dourado,Dafiti,Scarpin Feminino Santa Lolla Salto Médio Dourado,"Calçados,Calçados Femininos,Scarpin","R$ 369,90","R$ 259,99","R$ 276,59",4x,Scarpin Feminino Santa Lolla Salto Médio Dourado,scarpin feminino santa lolla salto medio dourado,scarpin feminino santa lolla salto medio dourado
Santa Lolla,Bege,Dafiti,Rasteira Feminina Santa Lolla Fechada Ti...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 89,99","R$ 95,73",1x,Rasteira Feminina Santa Lolla Fechada Ti...,rasteira feminina santa lolla fechada ti,rasteira feminina santa lolla fechada ti
Santa Lolla,Marrom,Dafiti,Scarpin Feminino Santa Lolla Bico Fino Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 289,90",,"R$ 289,90",4x,Scarpin Feminino Santa Lolla Bico Fino Marrom,scarpin feminino santa lolla bico fino marrom,scarpin feminino santa lolla bico fino marrom
Vizzano,Marrom,Dafiti,Bota Feminina Vizzano Cano Curto Salto Fino Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,90","R$ 169,99","R$ 180,84",3x,Bota Feminina Vizzano Cano Curto Salto Fino Marrom,bota feminina vizzano cano curto salto fino marrom,bota feminina vizzano cano curto salto fino marrom
Comfortflex,Rosa,Dafiti,Tênis Slip On Comfortflex Zíper Lateral Rosê,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 249,90","R$ 139,99","R$ 148,93",2x,Tênis Slip On Comfortflex Zíper Lateral Rosê,tenis slip on comfortflex ziper lateral rose,tenis slip on comfortflex ziper lateral rose
Kolosh,Marrom,Dafiti,Tênis Feminino Kolosh Detalhe Perfurado Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 124,99","R$ 132,97",2x,Tênis Feminino Kolosh Detalhe Perfurado Marrom,tenis feminino kolosh detalhe perfurado marrom,tenis feminino kolosh detalhe perfurado marrom
Vizzano,Preto,Dafiti,Sandália Vizzano Aplicação Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 99,99","R$ 106,37",1x,Sandália Vizzano Aplicação Preta,sandalia vizzano aplicacao preta,sandalia vizzano aplicacao preta
Beira Rio,Off-white,Dafiti,Sandália Feminino Beira Rio Salto Bloco Off-white,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,99","R$ 129,99","R$ 138,29",2x,Sandália Feminino Beira Rio Salto Bloco Off-white,sandalia feminino beira rio salto bloco off white,sandalia feminino beira rio salto bloco off white
Santa Lolla,Preto,Dafiti,Sandália Santa Lolla Salto Agulha Preta,"Calçados,Calçados Femininos,Sandálias","R$ 289,90","R$ 219,99","R$ 234,03",3x,Sandália Santa Lolla Salto Agulha Preta,sandalia santa lolla salto agulha preta,sandalia santa lolla salto agulha preta
Vizzano,Bege,Dafiti,Scarpin Feminino Vizzano Bico Fino Salto...,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 129,99","R$ 138,29",2x,Scarpin Feminino Vizzano Bico Fino Salto...,scarpin feminino vizzano bico fino salto,scarpin feminino vizzano bico fino salto
Santa Lolla,Preto,Dafiti,Bota Feminina Santa Lolla Cano Alto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 499,90","R$ 379,99","R$ 404,24",6x,Bota Feminina Santa Lolla Cano Alto Preta,bota feminina santa lolla cano alto preta,bota feminina santa lolla cano alto preta
Santa Lolla,Branco,Dafiti,Tênis Feminino Santa Lolla Urban Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 229,90","R$ 129,99","R$ 138,29",2x,Tênis Feminino Santa Lolla Urban Branco,tenis feminino santa lolla urban branco,tenis feminino santa lolla urban branco
Anacapri,Café,Dafiti,Mocassim Feminino ANACAPRI Faixa Café,"Calçados,Calçados Femininos,Mocassim","R$ 269,90","R$ 209,99","R$ 223,39",3x,Mocassim Feminino ANACAPRI Faixa Café,mocassim feminino anacapri faixa cafe,mocassim feminino anacapri faixa cafe
Beira Rio,Off-white,Dafiti,Rasteira Fechada Feminina Beira Rio Pont...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 84,99","R$ 90,41",1x,Rasteira Fechada Feminina Beira Rio Pont...,rasteira fechada feminina beira rio pont,rasteira fechada feminina beira rio pont
Vizzano,Preto,Dafiti,Sandália Vizzano Pedraria Preta,"Calçados,Calçados Femininos,Sandálias","R$ 159,90","R$ 99,99","R$ 106,37",1x,Sandália Vizzano Pedraria Preta,sandalia vizzano pedraria preta,sandalia vizzano pedraria preta
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Médio Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",,"R$ 129,99",2x,Scarpin Feminino Bebecê Salto Médio Preto,scarpin feminino bebece salto medio preto,scarpin feminino bebece salto medio preto
Jorge Bischoff,Preto,Dafiti,Sapatilha Jorge Bischoff de Couro Logo Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 229,99","R$ 244,67",4x,Sapatilha Jorge Bischoff de Couro Logo Preta,sapatilha jorge bischoff de couro logo preta,sapatilha jorge bischoff couro logo preta
Santa Lolla,Prata,Dafiti,Sandália Feminina Santa Lolla Salto Baix...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 199,90","R$ 159,99","R$ 170,20",2x,Sandália Feminina Santa Lolla Salto Baix...,sandalia feminina santa lolla salto baix,sandalia feminina santa lolla salto baix
Vizzano,Off-white,Dafiti,Sandália Vizzano Tachas Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 99,99","R$ 106,37",1x,Sandália Vizzano Tachas Off-White,sandalia vizzano tachas off white,sandalia vizzano tachas off white
Usaflex,Caramelo,Dafiti,Sandália Feminina Usaflex Salto Bloco Caramelo,"Calçados,Calçados Femininos,Sandálias","R$ 259,99","R$ 109,99","R$ 117,01",1x,Sandália Feminina Usaflex Salto Bloco Caramelo,sandalia feminina usaflex salto bloco caramelo,sandalia feminina usaflex salto bloco caramelo
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Bico Fino Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",,"R$ 129,99",2x,Scarpin Feminino Bebecê Bico Fino Salto ...,scarpin feminino bebece bico fino salto,scarpin feminino bebece bico fino salto
Modare,Off-white,Dafiti,Tênis Feminino Modare Knit Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,90",,"R$ 209,90",3x,Tênis Feminino Modare Knit Off-White,tenis feminino modare knit off white,tenis feminino modare knit off white
Moleca,Caramelo,Dafiti,Rasteira Feminina Moleca Tiras Cruzadas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 44,99","R$ 47,86",1x,Rasteira Feminina Moleca Tiras Cruzadas Caramelo,rasteira feminina moleca tiras cruzadas caramelo,rasteira feminina moleca tiras cruzadas caramelo
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Tiras Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 359,00","R$ 189,99","R$ 202,12",3x,Sandália Feminina Jorge Bischoff Tiras Marrom,sandalia feminina jorge bischoff tiras marrom,sandalia feminina jorge bischoff tiras marrom
Vizzano,Marrom,Dafiti,Bota Feminina Vizzano Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 269,90","R$ 184,99","R$ 196,80",3x,Bota Feminina Vizzano Cano Baixo Marrom,bota feminina vizzano cano baixo marrom,bota feminina vizzano cano baixo marrom
Vizzano,Off-white,Dafiti,Scarpin Slingback Vizzano Tira Nó Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 149,99","R$ 99,99","R$ 106,37",1x,Scarpin Slingback Vizzano Tira Nó Off-White,scarpin slingback vizzano tira no off white,scarpin slingback vizzano tira off white
Modare,Preto,Dafiti,Scarpin Feminino Modare Salto Anabela Preto,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x,Scarpin Feminino Modare Salto Anabela Preto,scarpin feminino modare salto anabela preto,scarpin feminino modare salto anabela preto
Santa Lolla,Caramelo,Dafiti,Sandália Feminina Santa Lolla Salto Bloc...,"Calçados,Calçados Femininos,Tamanco","R$ 179,90","R$ 129,99","R$ 138,29",2x,Sandália Feminina Santa Lolla Salto Bloc...,sandalia feminina santa lolla salto bloc,sandalia feminina santa lolla salto bloc
Bottero,Preto,Dafiti,Bota Cano Alto Feminina Bottero Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 509,99","R$ 369,99","R$ 393,61",6x,Bota Cano Alto Feminina Bottero Preta,bota cano alto feminina bottero preta,bota cano alto feminina bottero preta
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Salto Alto Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,90","R$ 129,99","R$ 138,29",2x,Sandália Feminina Vizzano Salto Alto Preta,sandalia feminina vizzano salto alto preta,sandalia feminina vizzano salto alto preta
Puma,Prata,Dafiti,Tênis Feminino Puma Speedcat Ballet Suede Prata,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 599,99","R$ 563,99","R$ 599,99",10x,Tênis Feminino Puma Speedcat Ballet Suede Prata,tenis feminino puma speedcat ballet suede prata,tenis feminino puma speedcat ballet suede prata
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Médio Marrom,"Calçados,Calçados Femininos,Tamanco","R$ 159,90","R$ 109,99","R$ 117,01",1x,Sandália Feminina Vizzano Salto Médio Marrom,sandalia feminina vizzano salto medio marrom,sandalia feminina vizzano salto medio marrom
Bebecê,Bege,Dafiti,Mocassim Feminino Bebecê Detalhe Metálico Bege,"Calçados,Calçados Femininos,Mocassim","R$ 79,99","R$ 54,99","R$ 58,50",1x,Mocassim Feminino Bebecê Detalhe Metálico Bege,mocassim feminino bebece detalhe metalico bege,mocassim feminino bebece detalhe metalico bege
Jorge Bischoff,Caramelo,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 749,00","R$ 389,99","R$ 414,88",6x,Bota Feminina Jorge Bischoff Cano Baixo Caramelo,bota feminina jorge bischoff cano baixo caramelo,bota feminina jorge bischoff cano baixo caramelo
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Alto Preta,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 94,99","R$ 101,05",1x,Scarpin Feminino Bebecê Salto Alto Preta,scarpin feminino bebece salto alto preta,scarpin feminino bebece salto alto preta
Santa Lolla,Preto,Dafiti,Tênis Santa Lolla Logo Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 159,99","R$ 119,99","R$ 127,65",2x,Tênis Santa Lolla Logo Preto,tenis santa lolla logo preto,tenis santa lolla logo preto
Modare,Bege,Dafiti,Scarpin Feminino Modare Salto Baixo Bico Fino Bege,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 124,99","R$ 132,97",2x,Scarpin Feminino Modare Salto Baixo Bico Fino Bege,scarpin feminino modare salto baixo bico fino bege,scarpin feminino modare salto baixo bico fino bege
Santa Lolla,Bordô,Dafiti,Sapatilha Feminina Santa Lolla Corrente ...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 219,90","R$ 144,99","R$ 154,24",2x,Sapatilha Feminina Santa Lolla Corrente ...,sapatilha feminina santa lolla corrente,sapatilha feminina santa lolla corrente
Moleca,Preto,Dafiti,Alpargata Moleca Perfuros Preta,"Calçados,Calçados Femininos,Alpargatas","R$ 69,99","R$ 49,99","R$ 53,18",1x,Alpargata Moleca Perfuros Preta,alpargata moleca perfuros preta,alpargata moleca perfuros preta
Anacapri,Vinho,Dafiti,Rasteira Anacapri Lisa Bordô,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 89,99","R$ 95,73",1x,Rasteira Anacapri Lisa Bordô,rasteira anacapri lisa bordo,rasteira anacapri lisa bordo
Santa Lolla,Bege,Dafiti,Tênis Feminino Santa Lolla Ponta Redonda Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,90","R$ 159,99","R$ 170,20",2x,Tênis Feminino Santa Lolla Ponta Redonda Bege,tenis feminino santa lolla ponta redonda bege,tenis feminino santa lolla ponta redonda bege
VIA UNO,Caramelo,Dafiti,Sapatilha Via Uno Aplicação Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x,Sapatilha Via Uno Aplicação Caramelo,sapatilha via uno aplicacao caramelo,sapatilha via uno aplicacao caramelo
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Salto Bloco Bi...,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 104,99","R$ 111,69",1x,Sandália Feminina Vizzano Salto Bloco Bi...,sandalia feminina vizzano salto bloco bi,sandalia feminina vizzano salto bloco bi
Usaflex,Rosa,Dafiti,Sandália Feminina Usaflex Salto Baixo Bloco Rosa,"Calçados,Calçados Femininos,Sandálias","R$ 249,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Usaflex Salto Baixo Bloco Rosa,sandalia feminina usaflex salto baixo bloco rosa,sandalia feminina usaflex salto baixo bloco rosa
Jorge Bischoff,Bordô,Dafiti,Scarpin Feminino Jorge Bischoff Couro Bordô,"Calçados,Calçados Femininos,Scarpin","R$ 499,00","R$ 319,99","R$ 340,41",5x,Scarpin Feminino Jorge Bischoff Couro Bordô,scarpin feminino jorge bischoff couro bordo,scarpin feminino jorge bischoff couro bordo
adidas Originals,Preto,Dafiti,Tênis adidas Originals SL 72 OG Animal P...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x,Tênis adidas Originals SL 72 OG Animal P...,tenis adidas originals sl 72 og animal p,tenis adidas originals sl 72 og animal p
VIA UNO,Marrom,Dafiti,Sapatilha Via Uno Croco Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 54,99","R$ 58,50",1x,Sapatilha Via Uno Croco Marrom,sapatilha via uno croco marrom,sapatilha via uno croco marrom
Kolosh,Vinho,Dafiti,Tênis Feminino Kolosh Detalhe Elástico Vinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 144,99","R$ 154,24",2x,Tênis Feminino Kolosh Detalhe Elástico Vinho,tenis feminino kolosh detalhe elastico vinho,tenis feminino kolosh detalhe elastico vinho
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Alto Fiv...,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,90","R$ 119,99","R$ 127,65",2x,Sandália Feminina Vizzano Salto Alto Fiv...,sandalia feminina vizzano salto alto fiv,sandalia feminina vizzano salto alto fiv
Moleca,Preto,Dafiti,Sapatilha Feminina Moleca Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 69,90",,"R$ 69,90",1x,Sapatilha Feminina Moleca Laço Preta,sapatilha feminina moleca laco preta,sapatilha feminina moleca laco preta
Santa Lolla,Preto,Dafiti,Scarpin Feminino Santa Lolla Salto Bloco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 189,99","R$ 144,99","R$ 154,24",2x,Scarpin Feminino Santa Lolla Salto Bloco Preto,scarpin feminino santa lolla salto bloco preto,scarpin feminino santa lolla salto bloco preto
Usaflex,Preto,Dafiti,Tênis Feminino Usaflex Slip On Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 129,99","R$ 138,29",2x,Tênis Feminino Usaflex Slip On Preto,tenis feminino usaflex slip on preto,tenis feminino usaflex slip on preto
Modare,Bege,Dafiti,Rasteira Modare Pedras Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,99","R$ 99,99","R$ 106,37",1x,Rasteira Modare Pedras Bege,rasteira modare pedras bege,rasteira modare pedras bege
Modare,Nude,Dafiti,Scarpin Feminino Modare Salto Médio Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Modare Salto Médio Nude,scarpin feminino modare salto medio nude,scarpin feminino modare salto medio nude
Jorge Bischoff,Azul Marinho,Dafiti,Sapatilha Feminina Jorge Bischoff Bico F...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 549,00","R$ 344,99","R$ 367,01",6x,Sapatilha Feminina Jorge Bischoff Bico F...,sapatilha feminina jorge bischoff bico f,sapatilha feminina jorge bischoff bico f
Moleca,Marrom,Dafiti,Rasteira Feminina Moleca Tiras Tramada Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 64,99","R$ 69,14",1x,Rasteira Feminina Moleca Tiras Tramada Marrom,rasteira feminina moleca tiras tramada marrom,rasteira feminina moleca tiras tramada marrom
Melissa,Incolor,Dafiti,Sandália Melissa Possession Incolor,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 159,70","R$ 169,89",2x,Sandália Melissa Possession Incolor,sandalia melissa possession incolor,sandalia melissa possession incolor
Kolosh,Bege,Dafiti,Tênis Feminino Kolosh Detalhe Metalizado Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 289,99","R$ 189,99","R$ 202,12",3x,Tênis Feminino Kolosh Detalhe Metalizado Bege,tenis feminino kolosh detalhe metalizado bege,tenis feminino kolosh detalhe metalizado bege
Modare,Preto,Dafiti,Tênis Feminino Modare Cano Baixo Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 169,90","R$ 119,99","R$ 127,65",2x,Tênis Feminino Modare Cano Baixo Preto,tenis feminino modare cano baixo preto,tenis feminino modare cano baixo preto
Vizzano,Preto,Dafiti,Scarpin Feminino Vizzano Salto Alto Tiras Preto,"Calçados,Calçados Femininos,Scarpin","R$ 189,90","R$ 129,99","R$ 138,29",2x,Scarpin Feminino Vizzano Salto Alto Tiras Preto,scarpin feminino vizzano salto alto tiras preto,scarpin feminino vizzano salto alto tiras preto
Vizzano,Bege,Dafiti,Sandália Vizzano Aplicação Bege,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x,Sandália Vizzano Aplicação Bege,sandalia vizzano aplicacao bege,sandalia vizzano aplicacao bege
Vizzano,Marrom,Dafiti,Tênis Feminino Modare Chunky Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 149,99","R$ 159,56",2x,Tênis Feminino Modare Chunky Marrom,tenis feminino modare chunky marrom,tenis feminino modare chunky marrom
Modare,Preto,Dafiti,Sapatilha Feminina Modare Detalhe Metálico Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 129,90","R$ 104,99","R$ 111,69",1x,Sapatilha Feminina Modare Detalhe Metálico Preta,sapatilha feminina modare detalhe metalico preta,sapatilha feminina modare detalhe metalico preta
Comfortflex,Marrom,Dafiti,Bota Feminina Comfortflex Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 139,99","R$ 148,93",2x,Bota Feminina Comfortflex Cano Baixo Marrom,bota feminina comfortflex cano baixo marrom,bota feminina comfortflex cano baixo marrom
Vizzano,Branco,Dafiti,Scarpin Vizzano Bico Fino Branco,"Calçados,Calçados Femininos,Scarpin","R$ 149,90","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Bico Fino Branco,scarpin vizzano bico fino branco,scarpin vizzano bico fino branco
Vizzano,Preto,Dafiti,Scarpin Vizzano Médio Preto,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 114,99","R$ 122,33",2x,Scarpin Vizzano Médio Preto,scarpin vizzano medio preto,scarpin vizzano medio preto
Santa Lolla,Preto,Dafiti,Sandália Santa Lolla Em Nó Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 269,90","R$ 219,99","R$ 234,03",3x,Sandália Santa Lolla Em Nó Preta,sandalia santa lolla em no preta,sandalia santa lolla preta
Jorge Bischoff,Azul,Dafiti,Scarpin Jorge Bischoff de Couro Azul,"Calçados,Calçados Femininos,Sapatos,Scarpins,Scarpin","R$ 369,00","R$ 219,99","R$ 234,03",3x,Scarpin Jorge Bischoff de Couro Azul,scarpin jorge bischoff de couro azul,scarpin jorge bischoff couro azul
VIA UNO,Marrom,Dafiti,Bota Feminina VIA UNO Cano Baixo Animal ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 134,99","R$ 143,61",2x,Bota Feminina VIA UNO Cano Baixo Animal ...,bota feminina via uno cano baixo animal,bota feminina via uno cano baixo animal
VIA UNO,Marrom,Dafiti,Mocassim VIA UNO Suede Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 124,99","R$ 132,97",2x,Mocassim VIA UNO Suede Marrom,mocassim via uno suede marrom,mocassim via uno suede marrom
Bottero,Preto,Dafiti,Bota Coturno Bottero Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Coturno e Biker","R$ 459,99","R$ 389,99","R$ 414,88",6x,Bota Coturno Bottero Cano Baixo Preta,bota coturno bottero cano baixo preta,bota coturno bottero cano baixo preta
Santa Lolla,Marrom,Dafiti,Scarpin Santa Lolla Salto Bloco Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 249,90","R$ 189,99","R$ 202,12",3x,Scarpin Santa Lolla Salto Bloco Caramelo,scarpin santa lolla salto bloco caramelo,scarpin santa lolla salto bloco caramelo
Jorge Bischoff,Caramelo,Dafiti,Tamanco Feminino Jorge Bischoff Salto Ba...,"Calçados,Calçados Femininos,Tamanco","R$ 449,00","R$ 219,99","R$ 234,03",3x,Tamanco Feminino Jorge Bischoff Salto Ba...,tamanco feminino jorge bischoff salto ba,tamanco feminino jorge bischoff salto ba
Vizzano,Marrom,Dafiti,Mule Feminino Vizzano Plataforma Fivela Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 199,90","R$ 144,99","R$ 154,24",2x,Mule Feminino Vizzano Plataforma Fivela Marrom,mule feminino vizzano plataforma fivela marrom,mule feminino vizzano plataforma fivela marrom
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Slingback Fivela Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 104,99","R$ 111,69",1x,Scarpin Feminino Bebecê Slingback Fivela Preto,scarpin feminino bebece slingback fivela preto,scarpin feminino bebece slingback fivela preto
Anacapri,Preto,Dafiti,Sapatilha ANACAPRI Matelassê Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 159,99",,"R$ 159,99",2x,Sapatilha ANACAPRI Matelassê Preta,sapatilha anacapri matelasse preta,sapatilha anacapri matelasse preta
Kolosh,Preto,Dafiti,Tênis Kolosh Com Cadarço Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 139,99","R$ 148,93",2x,Tênis Kolosh Com Cadarço Preto,tenis kolosh com cadarco preto,tenis kolosh cadarco preto
Bottero,Marrom,Dafiti,Sapatilha Feminina Bottero Slingback Cou...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 309,99","R$ 269,99","R$ 287,22",4x,Sapatilha Feminina Bottero Slingback Cou...,sapatilha feminina bottero slingback cou,sapatilha feminina bottero slingback cou
Kolosh,Branco,Dafiti,Tênis Feminino Kolosh Sem Cadarço Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,99","R$ 149,99","R$ 159,56",2x,Tênis Feminino Kolosh Sem Cadarço Branco,tenis feminino kolosh sem cadarco branco,tenis feminino kolosh cadarco branco
Ramarim,Branco,Dafiti,Tênis Feminino Ramarim Cadarço Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 149,99","R$ 159,56",2x,Tênis Feminino Ramarim Cadarço Branco,tenis feminino ramarim cadarco branco,tenis feminino ramarim cadarco branco
Modare,Branco,Dafiti,Tênis Feminino Modare Bico Redondo Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 159,99","R$ 170,20",2x,Tênis Feminino Modare Bico Redondo Branco,tenis feminino modare bico redondo branco,tenis feminino modare bico redondo branco
Arezzo,Preto,Dafiti,Scarpin Arezzo Salto Anabela Bico Fino Preta,"Calçados,Calçados Femininos,Scarpin","R$ 439,99","R$ 413,59","R$ 439,99",7x,Scarpin Arezzo Salto Anabela Bico Fino Preta,scarpin arezzo salto anabela bico fino preta,scarpin arezzo salto anabela bico fino preta
Bottero,Branco,Dafiti,Tênis Feminino Bottero Casual Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 349,99","R$ 239,99","R$ 255,31",4x,Tênis Feminino Bottero Casual Branco,tenis feminino bottero casual branco,tenis feminino bottero casual branco
VIA UNO,Bordô,Dafiti,Sandália Feminina VIA UNO Salto Grosso Bordô,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina VIA UNO Salto Grosso Bordô,sandalia feminina via uno salto grosso bordo,sandalia feminina via uno salto grosso bordo
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Texturi...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 489,00","R$ 279,99","R$ 297,86",4x,Sandália Feminina Jorge Bischoff Texturi...,sandalia feminina jorge bischoff texturi,sandalia feminina jorge bischoff texturi
Vizzano,Preto,Dafiti,Tamanco Vizzano Fivela Preto,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 99,99","R$ 106,37",1x,Tamanco Vizzano Fivela Preto,tamanco vizzano fivela preto,tamanco vizzano fivela preto
Vizzano,Marrom,Dafiti,Tênis Feminino Vizzano Bico Redondo Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 159,99","R$ 109,99","R$ 117,01",1x,Tênis Feminino Vizzano Bico Redondo Marrom,tenis feminino vizzano bico redondo marrom,tenis feminino vizzano bico redondo marrom
